"Time (s)"	"Acceleration (m/s²)"
8.332255446E0	1.001586199E0
8.372255746E0	4.835796356E-1
8.412255746E0	5.283005238E-1
8.462255712E0	3.730697632E-1
8.502256045E0	5.870463848E-1
8.552255445E0	6.894504547E-1
8.592255445E0	3.045046329E-1
8.642255444E0	6.356128693E-1
8.692254810E0	4.343515396E-1
8.732254810E0	5.178577900E-1
8.772254810E0	4.828302860E-1
8.812254810E0	5.323069096E-1
8.852255143E0	5.387399197E-1
8.892255476E0	4.780838490E-1
8.942255142E0	5.386806488E-1
8.982255442E0	5.985436440E-1
9.022255742E0	4.125249386E-1
9.072255442E0	3.353843689E-1
9.112255442E0	7.541036606E-1
9.152255775E0	4.443023205E-1
9.202255774E0	1.958686829E-1
9.242256074E0	6.797308922E-1
9.292255774E0	5.506958008E-1
9.342255474E0	4.516229630E-1
9.382255807E0	8.227217197E-1
9.432255473E0	3.481481552E-1
9.482255439E0	6.500598907E-1
9.532254438E0	5.201539993E-1
9.572254771E0	3.291244507E-1
9.612254771E0	3.801863194E-1
9.652255104E0	2.685427666E-1
9.702254436E0	3.929698944E-1
9.742254736E0	3.813166618E-1
9.792254436E0	5.868843079E-1
9.832255135E0	2.953233719E-1
9.872255435E0	-1.236073971E-1
9.912255435E0	9.976148605E-3
9.962255101E0	6.111629486E-1
1.000225543E1	1.131248474E-2
1.005225513E1	-2.641199112E-1
1.009225513E1	5.154535770E-1
1.014225513E1	2.033397675E-1
1.019225483E1	2.233173370E-1
1.023225547E1	3.724358082E-1
1.027225547E1	-4.531295300E-1
1.031225580E1	-3.290066719E-1
1.035225613E1	-1.323735714E-1
1.039225646E1	-1.854548454E-1
1.044225613E1	-1.792675018E-1
1.049225610E1	-9.488162994E-2
1.054225576E1	4.577198029E-2
1.058225576E1	1.925280094E-1
1.063225576E1	2.548336029E-1
1.068225543E1	3.924007416E-2
1.072225576E1	-6.132078171E-2
1.076225606E1	-3.989696503E-2
1.081225576E1	-2.056877136E-1
1.086225546E1	1.587375641E-1
1.091225546E1	2.121925354E-3
1.096225509E1	-1.467758179E-1
1.100225536E1	9.281539917E-2
1.105225506E1	2.345668793E-1
1.109225539E1	1.250002384E-1
1.113225572E1	-1.312081814E-1
1.118225539E1	-2.588043213E-2
1.122225539E1	-6.740522385E-2
1.126225539E1	4.810810089E-3
1.131225479E1	1.014480591E-2
1.135225479E1	-2.120265961E-1
1.139225509E1	-2.524461746E-1
1.144225506E1	3.557994843E-1
1.148225539E1	2.957396507E-1
1.152225539E1	-2.350058556E-1
1.157225509E1	-5.340538025E-2
1.161225509E1	2.265689373E-1
1.165225542E1	-1.154041290E-2
1.170225512E1	5.312919617E-3
1.174225512E1	-1.232028008E-2
1.179225479E1	-1.658592224E-1
1.183225479E1	-2.222065926E-1
1.187225512E1	-3.219318390E-2
1.191225512E1	1.822164059E-1
1.196225445E1	-3.059108734E-1
1.200225475E1	-6.042885780E-2
1.204225475E1	2.932500839E-1
1.208225475E1	-4.537343979E-2
1.212225509E1	-2.039051056E-2
1.216225542E1	2.512764931E-1
1.220225572E1	-6.747722626E-2
1.224225602E1	-3.234367371E-1
1.229225572E1	2.110137939E-1
1.234225542E1	1.410654068E-1
1.238225608E1	-2.895286083E-1
1.243225575E1	-3.569278717E-2
1.248225542E1	2.114944458E-2
1.253225508E1	8.611583710E-2
1.257225542E1	-2.098774910E-2
1.261225542E1	-8.850860596E-2
1.265225575E1	8.271956444E-2
1.270225508E1	1.803787231E-1
1.274225568E1	-1.746604443E-1
1.279225538E1	-3.943361282E-1
1.283225541E1	-2.217841148E-2
1.287225571E1	1.468691826E-1
1.291225571E1	-2.467026711E-1
1.296225568E1	1.868692398E-1
1.300225601E1	3.380188942E-1
1.305225541E1	-1.242382050E-1
1.309225541E1	-3.414554596E-1
1.314225541E1	2.362970352E-1
1.319225511E1	1.781024933E-1
1.323225511E1	-2.983741760E-1
1.327225511E1	-3.338761330E-1
1.331225511E1	1.227731705E-1
1.335225544E1	-5.132651329E-2
1.339225578E1	-4.822850227E-2
1.344225544E1	3.968507767E-1
1.349225541E1	8.561019897E-2
1.353225541E1	-3.903388977E-2
1.357225541E1	1.335000992E-2
1.361225541E1	-2.581825256E-1
1.365225574E1	3.616213799E-2
1.369225574E1	1.946582794E-1
1.373225638E1	-9.155654907E-2
1.377225638E1	-2.061512470E-1
1.382225578E1	-9.814720154E-2
1.386225578E1	-4.293680191E-2
1.390225611E1	2.082252502E-1
1.395225574E1	-8.353500366E-2
1.400225537E1	1.443864822E-1
1.405225507E1	5.477695465E-2
1.409225541E1	2.996563911E-1
1.413225574E1	-2.900049686E-1
1.418225507E1	-2.821599960E-1
1.422225507E1	3.895077705E-1
1.426225507E1	5.357742310E-3
1.430225510E1	-1.869206429E-1
1.434225510E1	2.008247375E-1
1.438225540E1	-1.729383469E-1
1.443225507E1	1.228122711E-1
1.447225507E1	-2.076756954E-1
1.451225540E1	-3.976113796E-1
1.456225510E1	2.079406738E-1
1.461225477E1	6.190509796E-2
1.465225510E1	-3.142361641E-1
1.470225457E1	3.410850525E-1
1.474225520E1	-1.009132862E-1
1.479225487E1	-1.654815674E-3
1.483225487E1	3.788485527E-1
1.487225553E1	-3.377361298E-1
1.491225553E1	-2.165043354E-1
1.496225510E1	2.808095932E-1
1.500225540E1	-2.331006527E-1
1.505225506E1	-1.974241257E-1
1.509225540E1	1.971416473E-1
1.513225573E1	1.768896580E-1
1.518225506E1	6.308536530E-2
1.522225540E1	2.556717396E-1
1.526225570E1	-3.196175098E-1
1.531225540E1	-3.472679138E-1
1.536225510E1	1.403423309E-1
1.540225543E1	2.221150398E-1
1.545225509E1	-2.375350952E-1
1.549225539E1	-9.809756279E-2
1.554225506E1	9.410800934E-2
1.558225539E1	-8.960580826E-2
1.562225546E1	2.075943947E-1
1.566225546E1	2.274711132E-1
1.571225479E1	-2.619152069E-1
1.575225539E1	6.484770775E-2
1.580225512E1	2.044216156E-1
1.584225512E1	-1.176865101E-1
1.588225542E1	-8.035039902E-2
1.592225566E1	-9.080815315E-2
1.596225566E1	-3.361749649E-2
1.600225599E1	-8.623242378E-2
1.605225539E1	1.358030319E-1
1.609225539E1	1.898734570E-1
1.614225539E1	-1.330831528E-1
1.619225509E1	-1.695201874E-1
1.623225542E1	6.032061577E-2
1.627225542E1	3.508043289E-2
1.631225542E1	-5.305528641E-3
1.635225576E1	-6.314039230E-3
1.639225609E1	-8.921122551E-2
1.644225575E1	3.194923401E-2
1.649225572E1	4.638309479E-2
1.654225539E1	1.974945068E-2
1.658225539E1	-1.513903141E-1
1.662225572E1	2.829217911E-2
1.666225572E1	3.109407425E-2
1.671225539E1	-1.424446106E-2
1.675225568E1	-2.994775772E-2
1.680225539E1	9.308166504E-2
1.685225508E1	-4.270286560E-2
1.689225542E1	-1.462888718E-2
1.694225475E1	-1.403825760E-1
1.698225505E1	-1.196892262E-1
1.702225505E1	2.454390526E-1
1.706225508E1	7.732987404E-2
1.710225508E1	-1.446268559E-1
1.714225542E1	-1.740746498E-1
1.719225475E1	6.440753937E-2
1.723225505E1	-1.352853775E-1
1.727225505E1	1.631209850E-1
1.731225508E1	2.036194801E-1
1.735225508E1	-2.140581608E-1
1.739225538E1	-1.935276985E-1
1.744225535E1	3.032049179E-1
1.748225551E1	-4.961776733E-2
1.752225551E1	-3.049850464E-1
1.757225521E1	5.716590881E-2
1.762225521E1	4.944362640E-2
1.766225521E1	1.400637627E-2
1.771225491E1	1.227573395E-1
1.775225524E1	-1.418020725E-1
1.779225541E1	-3.723001480E-2
1.783225541E1	1.626625061E-1
1.787225608E1	1.829314232E-2
1.791225608E1	-1.411809921E-1
1.796225541E1	1.241029739E-1
1.800225571E1	1.711385250E-1
1.805225538E1	-6.757493973E-1
1.809225538E1	-9.789156914E-2
1.813225571E1	3.455944061E-1
1.818225504E1	-1.399570465E-1
1.823218837E1	-9.307842255E-2
1.828202140E1	4.700937271E-1
1.833185443E1	-9.737949371E-2
1.838168776E1	3.444259644E-1
1.843152076E1	4.974651337E-2
1.848135409E1	-3.435270309E-1
1.853125409E1	-8.232097626E-2
1.857125442E1	-2.136235237E-1
1.861125475E1	-9.875416756E-2
1.866125442E1	3.280384064E-1
1.870125442E1	1.657552719E-1
1.874125475E1	-1.583881378E-1
1.878125475E1	7.399034500E-2
1.882125475E1	9.276556969E-2
1.886125509E1	-2.219092846E-1
1.891125475E1	-2.446708679E-2
1.895125508E1	4.606389999E-2
1.899125509E1	-2.855732441E-1
1.903125508E1	-3.546571732E-2
1.908125475E1	2.085725784E-1
1.912125542E1	-5.642986298E-2
1.917125508E1	-3.708515167E-2
1.921125508E1	2.627890110E-1
1.925125508E1	1.720380783E-2
1.929125508E1	-2.767510414E-1
1.933125508E1	6.565690041E-2
1.937125542E1	3.539879322E-1
1.942125475E1	-3.333423615E-1
1.947125428E1	-2.524887085E-1
1.951125458E1	3.681142330E-1
1.956125455E1	-8.074588776E-2
1.960125518E1	-3.274595737E-1
1.964125518E1	2.354204655E-1
1.968125518E1	2.865040302E-1
1.972125551E1	-2.496252060E-1
1.976125565E1	6.368160248E-2
1.981125535E1	1.969041824E-1
1.985125538E1	-4.943523407E-1
1.990125508E1	6.437606812E-2
1.994125508E1	3.261673450E-1
1.998125508E1	-1.826362610E-1
2.003125504E1	-2.453645706E-1
2.007125538E1	1.935689449E-1
2.011125571E1	5.600881577E-2
2.016125538E1	6.552314758E-3
2.021125504E1	2.661848068E-1
